Longitude,Latitude,City,Temperature,Feels Like,Humidity,Pressure,Wind Speed,Cloudiness
19.23,-34.42,Hermanus,53.01,50.38,70,1026,1.99,1
-56.15,72.79,Upernavik,-5.73,-19.05,79,1004,11.81,0
23.05,-34.04,Knysna,53.6,47.34,81,1025,10.29,75
46.03,-18.77,Tsiroanomandidy,75.18,69.87,40,1019,9.19,95
-155.09,19.73,Hilo,71.94,76.05,88,1016,4.7,90
-139.03,-9.8,Atuona,77.61,76.12,66,1013,12.3,51
166.22,-21.62,Thio,78.8,69.21,50,1013,21.92,52
-52.73,47.67,Torbay,31.98,22.3,74,1024,9.17,20
-73.97,42.6,Albany,45.54,43.34,100,1028,2.06,1
-70.92,-53.15,Punta Arenas,41.0,30.13,80,1014,13.87,0
-80.82,-5.56,Sechura,63.5,61.18,80,1015,8.19,73
-73.65,-37.62,Lebu,51.69,40.91,92,1020,19.04,41
-53.67,66.94,Sisimiut,19.49,-0.78,93,1000,26.75,100
170.5,-45.87,Dunedin,54.0,49.06,67,1021,5.99,100
81.82,7.42,Kalmunai,85.62,93.81,65,1012,1.32,85
168.86,-46.19,Mataura,55.99,50.27,72,1022,8.99,95
18.42,-33.93,Cape Town,50.22,47.34,76,1027,2.24,20
121.9,-33.87,Esperance,78.8,73.9,54,1000,14.99,75
114.16,22.29,Hong Kong,74.77,69.58,31,1008,5.99,76
25.57,-33.92,Port Elizabeth,57.2,51.01,93,1023,13.87,40
30.79,59.7,Nikolskoye,30.65,22.82,92,1022,6.71,0
114.08,71.92,Saskylakh,-4.05,-20.72,86,1005,17.94,92
-42.03,-22.97,Arraial do Cabo,73.45,79.25,94,1015,4.74,62
-159.78,-21.21,Avarua,77.0,79.59,73,1011,6.93,100
-152.41,57.79,Saint Paul Harbor,44.6,18.66,45,1000,38.03,1
-7.72,4.38,Harper,77.65,84.27,84,1012,4.03,85
-122.42,37.77,San Francisco,47.48,39.45,75,1013,10.29,1
-134.97,-23.12,Rikitea,73.2,70.03,78,1017,15.75,74
73.08,-0.6,Hithadhoo,84.29,88.38,71,1012,9.95,52
49.3,55.91,Vysokaya Gora,48.49,40.08,74,1010,11.18,75
-95.36,29.76,Houston,70.86,72.23,94,1015,10.29,75
42.49,61.03,Kuloy,30.65,20.79,94,1010,10.47,63
133.88,-23.7,Alice Springs,102.2,94.19,9,1011,8.05,0
100.34,5.41,George Town,83.48,91.71,78,1011,4.7,20
-115.95,30.48,San Quintín,61.66,51.82,63,1014,17.13,28
-22.43,63.84,Grindavik,42.8,29.05,93,1006,20.8,90
-27.07,38.73,Praia da Vitória,51.8,47.48,87,1022,6.91,20
-68.3,-54.8,Ushuaia,39.2,30.02,92,1010,11.41,75
115.33,-33.65,Busselton,60.93,58.55,81,1000,7.0,100
20.04,-34.53,Bredasdorp,46.4,43.09,81,1026,2.24,34
56.49,49.14,Shubarkuduk,43.9,30.11,85,1012,20.42,99
32.04,-28.78,Richards Bay,73.96,75.34,84,1018,10.04,82
164.28,-20.57,Koumac,76.15,71.04,70,1013,18.97,38
-109.91,22.89,Cabo San Lucas,73.85,71.55,73,1013,13.2,5
70.83,66.83,Yar-Sale,17.76,8.19,97,983,7.65,95
1.39,51.38,Margate,56.26,56.93,92,1014,1.01,100
129.48,28.37,Naze,71.6,63.46,56,1018,17.22,75
111.5,66.0,Aykhal,3.2,-8.16,84,1000,8.95,90
92.4,53.28,Yermakovskoye,40.53,36.52,74,1014,1.03,100
168.33,-46.6,Bluff,55.99,50.27,72,1022,8.99,60
-96.47,15.74,Pochutla,75.99,82.56,84,1011,2.62,39
-57.56,-38.0,Mar del Plata,60.44,59.23,93,1022,6.93,75
57.76,-20.34,Bambous Virieux,76.06,77.68,88,1022,12.75,75
10.28,36.77,Radès,57.2,57.76,100,1023,3.04,20
27.34,-17.62,Binga,84.13,84.06,32,1012,0.78,80
